username,feedback,score,at,app_version
Calista Manullang,"Aduh app-nya error mulu, ga bener.",2,2024-04-29 3:33:07,4.1.0
"Cindy Mulyani, S.Ked","Mantap, semuanya lancar.",5,2024-09-03 13:38:35,4.1.0
Karsa Purwanti,Udah nyoba berkali-kali tetep gk bisa.,2,2024-09-02 9:06:46,4.1.0
Dr. Okto Kuswandari,"Sering eror, ga recommended.",2,2024-03-29 6:37:20,4.1.0
Sutan Artawan Prayoga,"App ini mantap betul, gk kecewa.",4,2024-10-07 1:39:35,4.1.0
R.M. Baktiadi Hidayanto,Udah nyoba berkali-kali tetep gk bisa.,3,2024-03-14 12:48:16,4.1.0
Damar Laksita,"Payah, gk bisa dipake sama sekali.",3,2024-09-22 2:08:51,4.1.0
"drg. Kayla Hardiansyah, S.Psi","Layanan memuaskan, fitur lengkap.",4,2024-06-12 14:25:05,4.1.0
Yani Sihotang,Aplikasinya bagus banget!,4,2024-08-08 16:34:00,4.1.0
Icha Puspita,"Sering eror, ga recommended.",2,2024-05-11 23:39:06,4.1.0
Maras Kusmawati,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-07-21 10:31:56,4.1.0
Juli Rajasa,"Payah, gk bisa dipake sama sekali.",2,2024-08-21 5:31:57,4.1.0
"Citra Maryati, S.Farm","Gak bisa checkout, tolong perbaiki dong!",2,2024-03-30 15:01:44,4.1.0
"Embuh Padmasari, S.Sos","Mantap, semuanya lancar.",4,2024-10-19 18:43:53,4.1.0
"Kardi Najmudin, S.Farm",Aplikasinya suka ngelag parah,3,2024-05-24 0:24:38,4.1.0
Aslijan Tarihoran,Lambat banget! ga enak dipake,2,2024-01-30 23:33:10,4.1.0
Alika Mulyani,Aplikasinya bagus banget!,5,2024-07-22 14:34:15,4.1.0
"Cinthia Wahyuni, S.Psi",,3,2024-07-28 23:15:34,4.1.0
"Asmuni Andriani, S.H.",Aplikasinya bagus banget!,5,2024-03-15 8:51:20,4.1.0
Paulin Nainggolan,"Lemot bgt app ini, fix uninstall.",3,2024-02-19 5:19:26,4.1.0
"T. Mumpuni Maheswara, S.Psi","Layanan memuaskan, fitur lengkap.",4,2024-04-24 3:16:46,4.1.0
Dr. Darmanto Handayani,"Aduh app-nya error mulu, ga bener.",2,2024-05-13 5:05:58,4.1.0
Yosef Maheswara,"Mantap, semuanya lancar.",5,2024-10-01 19:03:05,4.1.0
"Lantar Ardianto, S.I.Kom",,5,2024-08-19 19:05:04,4.1.0
Laila Prabowo,Aplikasinya suka ngelag parah,1,2024-06-01 4:41:02,4.1.0
"Jati Hariyah, S.T.","Males banget, tiap buka loading terus.",1,2024-09-27 12:13:49,4.1.0
Dt. Asmianto Kuswoyo,"Gagal terus, tolong dong diperbaiki!",1,2024-03-21 10:54:39,4.1.0
Mulya Maheswara,Lambat banget! ga enak dipake,3,2024-03-23 1:14:02,4.1.0
Ella Budiyanto,Udah nyoba berkali-kali tetep gk bisa.,2,2024-09-27 4:28:37,4.1.0
Hartaka Oktaviani,Lambat banget! ga enak dipake,2,2024-07-11 4:23:51,4.1.0
Halima Hidayanto,"Gak bisa checkout, tolong perbaiki dong!",3,2024-10-03 18:37:53,4.1.0
Titi Oktaviani,"App-nya keren, mantul!",5,2024-04-29 22:25:34,4.1.0
Hilda Rahmawati,"Lemot bgt app ini, fix uninstall.",3,2024-10-01 14:12:15,4.1.0
"drg. Utama Anggriawan, S.E.I","Gagal terus, tolong dong diperbaiki!",3,2024-03-12 14:01:42,4.1.0
Ina Astuti,"Lemot bgt app ini, fix uninstall.",2,2024-10-10 5:08:44,4.1.0
Gamanto Prabowo,"Males banget, tiap buka loading terus.",3,2024-01-11 12:56:25,4.1.0
Tgk. Gina Usada,Aplikasinya suka ngelag parah,3,2024-09-07 7:47:34,4.1.0
Jaya Mandala,"Layanan memuaskan, fitur lengkap.",4,2024-08-08 9:20:21,4.1.0
Wadi Nuraini,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-05-15 2:50:54,4.1.0
"Fathonah Uyainah, M.Ak",Lambat banget! ga enak dipake,2,2024-04-26 6:56:32,4.1.0
Najib Winarsih,"Gagal terus, tolong dong diperbaiki!",2,2024-07-21 16:04:19,4.1.0
"Ir. Harjaya Usamah, M.Ak","Layanan memuaskan, fitur lengkap.",4,2024-01-25 4:08:39,4.1.0
Harja Yuniar,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-10-04 16:28:28,4.1.0
"Ina Mahendra, S.Pd","Lancar jaya bro, gk ada error.",5,2024-01-05 15:11:55,4.1.0
"R. Hesti Kusmawati, S.Ked","Lancar jaya bro, gk ada error.",5,2024-01-01 18:51:19,4.1.0
Aslijan Hutagalung,"Gak bisa checkout, tolong perbaiki dong!",1,2024-07-25 12:42:01,4.1.0
Laswi Firmansyah,"Sering eror, ga recommended.",1,2024-06-12 16:49:11,4.1.0
Kuncara Nababan,"Lancar jaya bro, gk ada error.",5,2024-02-12 3:12:08,4.1.0
Oman Simbolon,"Gak bisa checkout, tolong perbaiki dong!",3,2024-09-12 9:07:27,4.1.0
Wardi Situmorang,Aplikasinya bagus banget!,4,2024-07-30 10:10:05,4.1.0
Dadi Hasanah,"Lancar jaya bro, gk ada error.",4,2024-07-29 22:24:30,4.1.0
"Drs. Darijan Prasetya, S.Pt","Payah, gk bisa dipake sama sekali.",1,2024-01-01 14:55:12,4.1.0
"Usyi Rajasa, S.Pt","Mantul, pokoknya aplikasi ini juara deh!",5,2024-02-06 6:31:40,4.1.0
Puji Zulkarnain,Lambat banget! ga enak dipake,1,2024-04-28 0:20:32,4.1.0
"Eman Wijayanti, S.Pt","Gak bisa checkout, tolong perbaiki dong!",3,2024-02-25 7:51:56,4.1.0
"Maya Ardianto, M.M.","Gagal terus, tolong dong diperbaiki!",1,2024-09-16 10:57:36,4.1.0
Gilda Aryani,Aplikasinya bagus banget!,4,2024-02-24 16:26:47,4.1.0
Tgk. Raihan Prayoga,"Layanan memuaskan, fitur lengkap.",5,2024-03-10 18:44:46,4.1.0
Drs. Fitriani Ramadan,Lambat banget! ga enak dipake,2,2024-04-01 4:10:06,4.1.0
Ikin Nasyidah,"Lemot bgt app ini, fix uninstall.",3,2024-08-02 21:33:29,4.1.0
dr. Tira Hutasoit,"App ini mantap betul, gk kecewa.",5,2024-04-19 9:50:36,4.1.0
drg. Puspa Hasanah,"Gagal terus, tolong dong diperbaiki!",1,2024-08-01 18:25:18,4.1.0
Nurul Nababan,"Payah, gk bisa dipake sama sekali.",3,2024-03-17 10:12:19,4.1.0
Elvina Mustofa,Aplikasinya bagus banget!,4,2024-07-08 17:14:51,4.1.0
Dr. Ganep Waskita,Aplikasinya suka ngelag parah,1,2024-10-04 12:18:34,4.1.0
Janet Tarihoran,"Aduh app-nya error mulu, ga bener.",3,2024-03-20 18:06:58,4.1.0
Tantri Saptono,"Layanan memuaskan, fitur lengkap.",4,2024-04-04 5:03:53,4.1.0
Kanda Namaga,"Pokoknya juara, the best dah.",4,2024-01-18 20:03:25,4.1.0
Yance Prabowo,"Payah, gk bisa dipake sama sekali.",3,2024-06-07 14:49:27,4.1.0
"R.M. Adika Ardianto, S.Ked","Sering eror, ga recommended.",1,2024-09-02 4:02:17,4.1.0
"Edi Sirait, S.E.","Lancar jaya bro, gk ada error.",5,2024-09-21 11:47:05,4.1.0
Daryani Palastri,"Sipp, gk ada masalah, mantap.",5,2024-03-27 15:45:24,4.1.0
Maryadi Lestari,"Lemot bgt app ini, fix uninstall.",1,2024-09-28 1:29:07,4.1.0
Ina Mangunsong,"Gagal terus, tolong dong diperbaiki!",3,2024-02-23 6:31:29,4.1.0
"Hj. Cici Agustina, S.T.","Payah, gk bisa dipake sama sekali.",2,2024-07-25 5:13:06,4.1.0
Cakrawala Haryanti,Aplikasinya suka ngelag parah,3,2024-05-01 2:04:43,4.1.0
Kardi Marpaung,"Lemot bgt app ini, fix uninstall.",3,2024-04-21 15:27:35,4.1.0
Muhammad Prasetyo,"Lemot bgt app ini, fix uninstall.",2,2024-08-01 17:19:12,4.1.0
Anggabaya Nugroho,Lambat banget! ga enak dipake,3,2024-01-15 14:49:21,4.1.0
Simon Wasita,"Layanan memuaskan, fitur lengkap.",5,2024-03-03 20:17:41,4.1.0
"Hasim Uwais, M.M.","Males banget, tiap buka loading terus.",3,2024-08-11 14:51:30,4.1.0
Najib Firgantoro,Udah nyoba berkali-kali tetep gk bisa.,2,2024-08-29 15:12:46,4.1.0
Suci Astuti,Aplikasinya bagus banget!,4,2024-09-22 8:25:42,4.1.0
Empluk Wibowo,Udah nyoba berkali-kali tetep gk bisa.,3,2024-01-31 22:55:04,4.1.0
Dalima Firgantoro,"Sering eror, ga recommended.",2,2024-02-18 5:00:37,4.1.0
Setya Hakim,"Sering eror, ga recommended.",3,2024-04-02 7:03:34,4.1.0
"Cakrawangsa Mardhiyah, S.Pd",Aplikasinya suka ngelag parah,1,2024-08-21 12:30:46,4.1.0
Pranawa Samosir,"Aduh app-nya error mulu, ga bener.",1,2024-10-01 14:28:31,4.1.0
Bella Yuniar,"Cepat dan responsif, saya suka.",4,2024-04-02 21:24:09,4.1.0
T. Utama Zulkarnain,"Lemot bgt app ini, fix uninstall.",1,2024-02-07 15:15:40,4.1.0
Maida Lazuardi,"Gak bisa checkout, tolong perbaiki dong!",3,2024-10-18 12:48:22,4.1.0
drg. Rachel Widodo,"Sipp, gk ada masalah, mantap.",5,2024-04-02 14:34:11,4.1.0
Endah Hutagalung,Lambat banget! ga enak dipake,2,2024-06-04 21:37:35,4.1.0
"Cut Kasiyah Suartini, S.Pt","Lemot bgt app ini, fix uninstall.",1,2024-02-20 3:04:49,4.1.0
"Hj. Gabriella Dongoran, S.T.","Sering eror, ga recommended.",3,2024-09-26 6:17:32,4.1.0
Natalia Iswahyudi,"Cepat dan responsif, saya suka.",4,2024-05-11 8:08:26,4.1.0
dr. Putri Suryono,"Gagal terus, tolong dong diperbaiki!",2,2024-10-20 20:29:56,4.1.0
"Laswi Lazuardi, S.T.","Sering eror, ga recommended.",3,2024-02-18 4:54:22,4.1.0
"Hj. Olivia Lazuardi, M.Ak","Pokoknya juara, the best dah.",5,2024-05-19 6:52:30,4.1.0
Mutia Uyainah,"Payah, gk bisa dipake sama sekali.",3,2024-06-25 16:57:02,4.1.0
Zulfa Wibowo,"App ini mantap betul, gk kecewa.",5,2024-07-02 13:32:08,4.1.0
"Dr. Anita Mayasari, S.Ked","Payah, gk bisa dipake sama sekali.",3,2024-10-21 18:27:40,4.1.0
Upik Maheswara,"Lemot bgt app ini, fix uninstall.",1,2024-10-18 15:37:31,4.1.0
"KH. Daliono Samosir, S.T.","Gak bisa checkout, tolong perbaiki dong!",2,2024-09-11 4:58:35,4.1.0
Zulaikha Latupono,Aplikasinya suka ngelag parah,3,2024-02-22 21:39:25,4.1.0
Agnes Hartati,"Cepat dan responsif, saya suka.",4,2024-10-04 9:25:40,4.1.0
dr. Tina Siregar,"Aduh app-nya error mulu, ga bener.",1,2024-02-19 10:25:21,4.1.0
"Ir. Jaka Nugroho, S.T.","Mantul, pokoknya aplikasi ini juara deh!",4,2024-09-02 12:46:14,4.1.0
"drg. Jamalia Astuti, S.E.I","Lemot bgt app ini, fix uninstall.",2,2024-07-14 19:18:58,4.1.0
Gabriella Gunarto,Aplikasinya bagus banget!,5,2024-03-03 4:52:17,4.1.0
"Drs. Cindy Mahendra, S.I.Kom",Udah nyoba berkali-kali tetep gk bisa.,1,2024-02-23 0:19:49,4.1.0
Manah Prakasa,"Layanan memuaskan, fitur lengkap.",4,2024-09-10 3:54:37,4.1.0
Dewi Safitri,Udah nyoba berkali-kali tetep gk bisa.,2,2024-06-10 11:41:56,4.1.0
Maimunah Nurdiyanti,"Payah, gk bisa dipake sama sekali.",2,2024-04-13 9:16:05,4.1.0
"Puti Tantri Jailani, S.H.","Payah, gk bisa dipake sama sekali.",1,2024-06-17 23:33:37,4.1.0
Elon Sihombing,"Pokoknya juara, the best dah.",5,2024-04-18 23:13:08,4.1.0
Saiful Lestari,"App ini mantap betul, gk kecewa.",5,2024-03-05 9:36:15,4.1.0
Marsudi Wasita,"Males banget, tiap buka loading terus.",1,2024-09-20 10:34:42,4.1.0
Galih Putra,"Payah, gk bisa dipake sama sekali.",1,2024-04-26 0:46:16,4.1.0
Dr. Hairyanto Agustina,"Pokoknya juara, the best dah.",5,2024-10-07 1:12:49,4.1.0
"Nilam Marpaung, S.H.","Sipp, gk ada masalah, mantap.",5,2024-02-03 10:21:49,4.1.0
Cahya Puspita,,1,2024-08-22 1:45:35,4.1.0
"Cut Ella Pangestu, S.H.","Mantul, pokoknya aplikasi ini juara deh!",4,2024-06-26 2:08:01,4.1.0
Puspa Nababan,"Layanan memuaskan, fitur lengkap.",4,2024-08-24 18:43:19,4.1.0
"Tgk. Tantri Mustofa, S.Sos","Payah, gk bisa dipake sama sekali.",2,2024-01-19 13:18:25,4.1.0
Dr. Bakiadi Puspita,"Pokoknya juara, the best dah.",5,2024-08-12 23:33:50,4.1.0
R.A. Zalindra Hariyah,Aplikasinya suka ngelag parah,1,2024-02-15 2:28:57,4.1.0
"Kasim Zulaika, S.Gz",Lambat banget! ga enak dipake,3,2024-02-08 21:46:28,4.1.0
"T. Kenes Gunarto, S.Kom","Mantul, pokoknya aplikasi ini juara deh!",5,2024-07-22 23:01:06,4.1.0
"Cut Usyi Hartati, S.Kom","Mantap, semuanya lancar.",4,2024-08-22 10:34:44,4.1.0
"R. Kacung Wibisono, S.Psi",Udah nyoba berkali-kali tetep gk bisa.,3,2024-09-21 2:25:11,4.1.0
Fitriani Megantara,"Lancar jaya bro, gk ada error.",4,2024-06-25 22:56:31,4.1.0
"Puti Betania Saefullah, S.Farm",Udah nyoba berkali-kali tetep gk bisa.,1,2024-04-22 7:33:10,4.1.0
Olivia Pertiwi,"Sering eror, ga recommended.",2,2024-09-11 9:01:57,4.1.0
"Irsad Maryati, M.Farm","Payah, gk bisa dipake sama sekali.",2,2024-04-25 19:44:17,4.1.0
"R. Widya Fujiati, S.I.Kom","Sering eror, ga recommended.",3,2024-05-26 4:37:25,4.1.0
Ivan Latupono,"Sipp, gk ada masalah, mantap.",5,2024-04-29 7:48:33,4.1.0
Tri Widiastuti,Udah nyoba berkali-kali tetep gk bisa.,1,2024-07-23 10:56:41,4.1.0
Sutan Najam Hasanah,Udah nyoba berkali-kali tetep gk bisa.,1,2024-03-11 15:41:53,4.1.0
H. Marwata Wibisono,"Males banget, tiap buka loading terus.",1,2024-01-08 12:07:28,4.1.0
"Dt. Lasmono Winarsih, S.Pt","Gagal terus, tolong dong diperbaiki!",2,2024-06-13 4:45:23,4.1.0
"Gasti Saptono, S.Farm","Gak bisa checkout, tolong perbaiki dong!",3,2024-03-03 21:02:21,4.1.0
Hardana Gunawan,"Males banget, tiap buka loading terus.",1,2024-10-15 19:54:38,4.1.0
dr. Putri Hutagalung,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-09-23 13:31:02,4.1.0
"R.M. Mustofa Kusmawati, S.Ked","Gak bisa checkout, tolong perbaiki dong!",2,2024-08-09 13:06:37,4.1.0
Karman Pradana,"Gak bisa checkout, tolong perbaiki dong!",2,2024-02-17 20:54:07,4.1.0
R. Rahmi Lazuardi,"Lancar jaya bro, gk ada error.",4,2024-02-22 7:27:43,4.1.0
"Diah Megantara, M.Farm","App-nya keren, mantul!",4,2024-04-07 20:30:45,4.1.0
Maida Hariyah,"Payah, gk bisa dipake sama sekali.",3,2024-01-03 19:52:17,4.1.0
"Tgk. Siti Tampubolon, S.E.I","Cepat dan responsif, saya suka.",4,2024-06-09 4:58:07,4.1.0
"Puti Diana Novitasari, S.E.I","App ini mantap betul, gk kecewa.",5,2024-08-02 23:02:08,4.1.0
"Puti Titin Wahyudin, S.Sos","Mantap, semuanya lancar.",5,2024-04-03 2:16:10,4.1.0
H. Bakiman Widodo,"Gagal terus, tolong dong diperbaiki!",3,2024-04-27 8:54:26,4.1.0
Bakidin Sihotang,"Gak bisa checkout, tolong perbaiki dong!",3,2024-07-17 6:58:08,4.1.0
Shakila Puspasari,Aplikasinya bagus banget!,5,2024-09-02 17:56:47,4.1.0
Dariati Sihombing,"Cepat dan responsif, saya suka.",5,2024-01-23 21:38:32,4.1.0
"Nrima Hidayanto, M.M.","Gagal terus, tolong dong diperbaiki!",1,2024-10-09 16:33:41,4.1.0
"Dr. Dinda Irawan, S.Ked","Males banget, tiap buka loading terus.",2,2024-02-12 5:39:37,4.1.0
"Wirda Wulandari, S.I.Kom","Mantap, semuanya lancar.",4,2024-09-22 23:18:44,4.1.0
"Tgk. Cengkal Nuraini, S.Pd","Lemot bgt app ini, fix uninstall.",2,2024-06-05 15:56:59,4.1.0
"Gantar Saptono, M.TI.","Gak bisa checkout, tolong perbaiki dong!",2,2024-10-11 9:34:03,4.1.0
"KH. Adikara Wasita, S.Kom","Mantap, semuanya lancar.",4,2024-09-28 13:19:01,4.1.0
Michelle Laksmiwati,Aplikasinya suka ngelag parah,3,2024-04-29 8:52:06,4.1.0
"Bakiadi Widiastuti, M.Farm",Lambat banget! ga enak dipake,3,2024-07-10 23:02:32,4.1.0
Ir. Uchita Irawan,"Sering eror, ga recommended.",2,2024-03-22 7:55:05,4.1.0
"Mulya Rajasa, S.Gz","Males banget, tiap buka loading terus.",3,2024-03-29 2:16:39,4.1.0
Luhung Handayani,Aplikasinya suka ngelag parah,3,2024-08-02 3:02:36,4.1.0
Wirda Mulyani,"Gagal terus, tolong dong diperbaiki!",2,2024-02-13 20:48:03,4.1.0
"Farah Setiawan, S.Gz","Mantap, semuanya lancar.",5,2024-09-15 6:18:36,4.1.0
"Yance Uwais, S.IP","Layanan memuaskan, fitur lengkap.",4,2024-05-29 9:36:38,4.1.0
"Zizi Sihombing, S.Psi",,4,2024-03-30 21:51:42,4.1.0
"Dr. Nasim Prasetyo, S.E.","Gak bisa checkout, tolong perbaiki dong!",3,2024-04-28 19:00:04,4.1.0
KH. Harja Novitasari,"Lemot bgt app ini, fix uninstall.",1,2024-01-09 21:39:00,4.1.0
"Puti Talia Marpaung, M.Kom.",Lambat banget! ga enak dipake,3,2024-02-05 9:59:39,4.1.0
"Drs. Luhung Sitorus, S.Sos","Layanan memuaskan, fitur lengkap.",4,2024-10-08 14:19:24,4.1.0
"Prayoga Jailani, S.E.","Mantul, pokoknya aplikasi ini juara deh!",4,2024-02-02 22:18:45,4.1.0
"Bahuwirya Andriani, S.Pt","Lemot bgt app ini, fix uninstall.",1,2024-01-29 0:30:24,4.1.0
Margana Pratama,,4,2024-06-26 10:38:19,4.1.0
H. Kariman Suartini,"Lancar jaya bro, gk ada error.",5,2024-06-22 19:23:54,4.1.0
dr. Halim Maryati,"Aduh app-nya error mulu, ga bener.",2,2024-10-17 5:52:39,4.1.0
"Ida Thamrin, S.Kom","Sipp, gk ada masalah, mantap.",5,2024-06-06 23:18:37,4.1.0
Kunthara Gunawan,"Cepat dan responsif, saya suka.",5,2024-04-20 19:29:11,4.1.0
Aurora Thamrin,"Sipp, gk ada masalah, mantap.",5,2024-07-22 10:22:45,4.1.0
Fitriani Kuswoyo,Aplikasinya suka ngelag parah,1,2024-02-20 11:40:47,4.1.0
Vanya Manullang,"Lemot bgt app ini, fix uninstall.",2,2024-07-06 23:00:57,4.1.0
Puji Prasetya,"Payah, gk bisa dipake sama sekali.",3,2024-04-18 6:40:57,4.1.0
Gambira Simanjuntak,"Gagal terus, tolong dong diperbaiki!",1,2024-04-08 11:40:51,4.1.0
"Raden Firgantoro, M.Ak","Lemot bgt app ini, fix uninstall.",3,2024-07-11 18:54:20,4.1.0
"Ida Siregar, S.E.","Pokoknya juara, the best dah.",4,2024-01-27 6:16:01,4.1.0
Kasiyah Hidayanto,Aplikasinya suka ngelag parah,2,2024-02-27 19:45:55,4.1.0
Dr. Victoria Mulyani,"Mantul, pokoknya aplikasi ini juara deh!",5,2024-02-27 3:43:49,4.1.0
Hilda Wasita,Lambat banget! ga enak dipake,1,2024-07-18 7:09:16,4.1.0
Bakidin Wulandari,"Cepat dan responsif, saya suka.",4,2024-08-12 3:54:09,4.1.0
Kamila Rajata,"Lemot bgt app ini, fix uninstall.",3,2024-10-03 9:00:42,4.1.0
Sakti Prastuti,"Payah, gk bisa dipake sama sekali.",2,2024-01-19 20:35:28,4.1.0
"dr. Melinda Prabowo, S.Gz",,5,2024-09-14 19:57:57,4.1.0
Harja Anggraini,"Aduh app-nya error mulu, ga bener.",2,2024-05-17 8:31:39,4.1.0
Dono Anggriawan,"Sering eror, ga recommended.",3,2024-02-22 22:32:05,4.1.0
R.A. Sari Pratiwi,"Lemot bgt app ini, fix uninstall.",1,2024-05-28 6:14:09,4.1.0
Ghaliyati Namaga,"App-nya keren, mantul!",4,2024-02-05 23:50:46,4.1.0
Sakura Pudjiastuti,"Sering eror, ga recommended.",2,2024-02-13 8:07:42,4.1.0
"Zulfa Firgantoro, S.T.","Lemot bgt app ini, fix uninstall.",1,2024-02-21 1:09:26,4.1.0
Irwan Kurniawan,"Sering eror, ga recommended.",1,2024-03-05 5:44:01,4.1.0
"R. Sarah Hastuti, S.Farm",Aplikasinya bagus banget!,4,2024-04-24 1:00:03,4.1.0
dr. Darmaji Suryono,"Males banget, tiap buka loading terus.",2,2024-10-08 18:54:27,4.1.0
Anita Widiastuti,"App ini mantap betul, gk kecewa.",4,2024-10-08 9:40:40,4.1.0
Utama Halimah,"Gak bisa checkout, tolong perbaiki dong!",2,2024-06-03 3:07:02,4.1.0
Juli Saragih,"Lemot bgt app ini, fix uninstall.",3,2024-04-11 9:40:47,4.1.0
Ajimat Haryanto,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-07-23 20:05:15,4.1.0
Vanesa Puspasari,Aplikasinya suka ngelag parah,2,2024-06-29 12:30:11,4.1.0
"Kalim Utama, S.T.","Pokoknya juara, the best dah.",5,2024-04-22 5:07:50,4.1.0
Ellis Susanti,"Mantul, pokoknya aplikasi ini juara deh!",4,2024-06-01 5:01:09,4.1.0
Gatra Gunarto,"Gak bisa checkout, tolong perbaiki dong!",2,2024-08-14 9:49:58,4.1.0
Maras Saefullah,Aplikasinya bagus banget!,4,2024-07-03 23:44:55,4.1.0
Prayitna Dongoran,"Sipp, gk ada masalah, mantap.",4,2024-10-20 21:34:02,4.1.0
Hj. Ika Anggriawan,Aplikasinya bagus banget!,5,2024-07-13 11:00:06,4.1.0
Chelsea Oktaviani,Aplikasinya suka ngelag parah,3,2024-01-28 23:08:41,4.1.0
"Tgk. Simon Zulaika, M.Farm",Lambat banget! ga enak dipake,1,2024-07-16 10:33:57,4.1.0
Fitriani Handayani,"Cepat dan responsif, saya suka.",4,2024-07-22 20:30:39,4.1.0
Nrima Palastri,"Gagal terus, tolong dong diperbaiki!",1,2024-07-21 12:02:37,4.1.0
"Nyana Saptono, S.Kom",Lambat banget! ga enak dipake,2,2024-05-15 1:35:43,4.1.0
Adinata Najmudin,"Cepat dan responsif, saya suka.",4,2024-07-08 6:11:04,4.1.0
Ira Rajasa,"Layanan memuaskan, fitur lengkap.",5,2024-08-07 12:19:21,4.1.0
Zaenab Mardhiyah,"Lemot bgt app ini, fix uninstall.",2,2024-05-14 15:27:04,4.1.0
drg. Maryanto Siregar,"Gagal terus, tolong dong diperbaiki!",2,2024-05-02 13:00:49,4.1.0
"R. Ratih Natsir, S.Gz","Mantap, semuanya lancar.",5,2024-10-05 1:28:22,4.1.0
Farah Uyainah,"Males banget, tiap buka loading terus.",2,2024-09-18 17:13:23,4.1.0
Waluyo Hassanah,"Layanan memuaskan, fitur lengkap.",5,2024-09-23 13:21:29,4.1.0
Opung Hastuti,"Mantap, semuanya lancar.",5,2024-09-20 3:42:44,4.1.0
"Dt. Jaya Mayasari, S.Sos","Lancar jaya bro, gk ada error.",5,2024-02-15 3:43:13,4.1.0
Daliman Hastuti,"Lemot bgt app ini, fix uninstall.",1,2024-07-20 17:31:42,4.1.0
"drg. Kemba Farida, S.T.",Udah nyoba berkali-kali tetep gk bisa.,1,2024-07-29 18:02:15,4.1.0
"Puti Ilsa Wacana, M.Ak",Udah nyoba berkali-kali tetep gk bisa.,1,2024-04-08 22:39:46,4.1.0
Puti Tantri Maulana,Aplikasinya suka ngelag parah,1,2024-09-25 8:55:36,4.1.0
Tgk. Olga Habibi,Aplikasinya bagus banget!,5,2024-09-24 17:58:45,4.1.0
"Tgk. Ellis Hutapea, S.T.","Cepat dan responsif, saya suka.",5,2024-02-27 9:04:00,4.1.0
